"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validates that a nonexistent patient is not returned by the database","11","shouldNotReturnUnknownPatient","Multi-Layer Test Automation Suite","2026-09-01","passed","2026-09-01","com.healthpoint.automation.db.PatientDatabaseTest","Database Test Suite","com.healthpoint.automation.db.PatientDatabaseTest","shouldNotReturnUnknownPatient"
"Verifies that a new post can be created with the expected response data","852","shouldCreatePost","Multi-Layer Test Automation Suite","2026-09-01","passed","2026-09-01","com.healthpoint.automation.api.CreatePostAPITest","API Test Suite","com.healthpoint.automation.api.CreatePostAPITest","shouldCreatePost"
"Verifies that a locked-out user cannot authenticate","629","shouldRejectLockedOutUser","Multi-Layer Test Automation Suite","2026-09-01","passed","2026-09-01","com.healthpoint.automation.ui.LoginUiTest","UI Test Suite","com.healthpoint.automation.ui.LoginUiTest","shouldRejectLockedOutUser"
"Verifies that an authenticated user can log out successfully","1572","shouldLogoutSuccessfully","Multi-Layer Test Automation Suite","2026-09-01","passed","2026-09-01","com.healthpoint.automation.ui.InventoryUiTest","UI Test Suite","com.healthpoint.automation.ui.InventoryUiTest","shouldLogoutSuccessfully"
"Verifies that login fails when invalid credentials are provided","531","shouldRejectInvalidCredentials","Multi-Layer Test Automation Suite","2026-09-01","passed","2026-09-01","com.healthpoint.automation.ui.LoginUiTest","UI Test Suite","com.healthpoint.automation.ui.LoginUiTest","shouldRejectInvalidCredentials"
"Verifies that an existing post can be retrieved by id","1357","shouldReturnPostById","Multi-Layer Test Automation Suite","2026-09-01","passed","2026-09-01","com.healthpoint.automation.api.GetPostAPITest","API Test Suite","com.healthpoint.automation.api.GetPostAPITest","shouldReturnPostById"
"Verifies that products can be sorted by price from low to high","789","shouldSortProductsByPriceLowToHigh","Multi-Layer Test Automation Suite","2026-09-01","passed","2026-09-01","com.healthpoint.automation.ui.InventoryUiTest","UI Test Suite","com.healthpoint.automation.ui.InventoryUiTest","shouldSortProductsByPriceLowToHigh"
"Validates that an unknown post returns an empty response body","49","shouldReturnEmptyBodyForUnknownPost","Multi-Layer Test Automation Suite","2026-09-01","passed","2026-09-01","com.healthpoint.automation.api.PostContractAPITest","API Test Suite","com.healthpoint.automation.api.PostContractAPITest","shouldReturnEmptyBodyForUnknownPost"
"Validates that the stored patient matches the expected seeded test data","11","shouldReturnPatientFromDatabase","Multi-Layer Test Automation Suite","2026-09-01","passed","2026-09-01","com.healthpoint.automation.db.PatientDatabaseTest","Database Test Suite","com.healthpoint.automation.db.PatientDatabaseTest","shouldReturnPatientFromDatabase"
"Verifies that an existing post can be updated","754","shouldUpdatePost","Multi-Layer Test Automation Suite","2026-09-01","passed","2026-09-01","com.healthpoint.automation.api.UpdatePostAPITest","API Test Suite","com.healthpoint.automation.api.UpdatePostAPITest","shouldUpdatePost"
"Verifies that the API is available and responds successfully","1130","apiShouldBeAvailable","Multi-Layer Test Automation Suite","2026-09-01","passed","2026-09-01","com.healthpoint.automation.api.HealthCheckApiTest","API Test Suite","com.healthpoint.automation.api.HealthCheckApiTest","apiShouldBeAvailable"
"Verifies that requesting a non-existing post returns HTTP 404","69","shouldReturn404WhenPostDoesNotExist","Multi-Layer Test Automation Suite","2026-09-01","passed","2026-09-01","com.healthpoint.automation.api.NegativeGetPostAPITest","API Test Suite","com.healthpoint.automation.api.NegativeGetPostAPITest","shouldReturn404WhenPostDoesNotExist"
"Verifies that an existing post can be deleted","166","shouldDeletePost","Multi-Layer Test Automation Suite","2026-09-01","passed","2026-09-01","com.healthpoint.automation.api.DeletePostAPITest","API Test Suite","com.healthpoint.automation.api.DeletePostAPITest","shouldDeletePost"
"Validates the response contract for an existing post","99","shouldReturnExpectedPostContract","Multi-Layer Test Automation Suite","2026-09-01","passed","2026-09-01","com.healthpoint.automation.api.PostContractAPITest","API Test Suite","com.healthpoint.automation.api.PostContractAPITest","shouldReturnExpectedPostContract"
"Verifies that a valid user can log in successfully","726","shouldLoginWithValidCredentials","Multi-Layer Test Automation Suite","2026-09-01","passed","2026-09-01","com.healthpoint.automation.ui.LoginUiTest","UI Test Suite","com.healthpoint.automation.ui.LoginUiTest","shouldLoginWithValidCredentials"
